name,desc
Benbrook Lake,"Benbrook Lake is located in the scenic open countryside of rolling hills and prairie meadows southwest of Fort Worth, Texas.  Conveniently accessible from the Fort Worth / Dallas metroplex, the lake is only 2.5 miles (4 km) south of Interstate Highway 20 on US Highway 377.  Picnicking, camping, fishing, hunting, boating, hiking and birdwatching are just the beginning of the activities  available in the parks and other public lands at Benbrook Lake.  Nearby Fort Worth also offers the attractions of an annual stock show and rodeo, a lovely botanical gardens and zoo, and two world-renowned museums, the Amon Carter and Kimball Art Museums.  Please visit the Benbrook Lake Web Site in the list to the right for additional information."
Wallisville Lake,
Canyon Lake,"In the early part of the 19th century, the lower Guadalupe River Basin, below the current location of Canyon Lake, had been especially subject to serious flooding. Congress authorized in the 1940's the construction of Canyon Lake Dam.  Construction began in 1958, was completed in 1964, dedicated in 1966 and reached the conservation pool by 1968.  The lake will turn 50 in 2016. The scenic blue water of the lake is due to its limestone bottom.  It averages around 40 feet in depth but can be as deep as 130 feet.  Canyon Lake is located about sixteen miles northwest of New Braunfels, Texas, between San Antonio and Austin."
Stillhouse Hollow Lake,"Historical sites include the Stage Coach Inn in nearby Salado. Stillhouse Hollow Lake is located near the Fort Hood Army Base, which has several points of interest for the military buff. Tour Chalk Ride Falls Environmental Learning Center located below Stillhouse Hollow Dam. The Center includes a hiking trail along the Lampasas River, a spring-fed creek with a waterfall, and several wildlife viewing points."
Sam Rayburn Reservoir,"A 114,000-acre lake in the Big Thicket country of Texas, with native flora including orchids, insect-eating plants and scores of animal species. At 114,000+ acres, Sam Rayburn is the largest man-made lake located totally within the boundaries of the state of Texas.  The lake is located deep in the Piney Woods of Southeast Texas, nestled within the Angelina and Sabine National Forest.  Sam Rayburn Reservoir is nationally renowned for its large mouth bass fishery, hosting numerous tournaments each year.  Recreation opportunities include camping, fishing, swimming, boating, and hunting as well as concessions offered by marinas."
Belton Lake,"Historical sites include the old ""Charter Oak"" on the Leon River, near the City of Belton, and the Stage Coach Inn in nearby Salado. Tour Miller Springs Nature Area located below Belton Dam. The nature area includes a hiking trail along the Leon River, a restored historic bridge, and several wildlife-viewing points. Belton Lake is located adjacent to the Fort Hood Army Base, which has several points of interest for the military buff. The mural painted on the spillway wall of Belton Dam depicts the history of the Bell County area."
Lewisville Lake,"Just north of Dallas, popular Lewisville Lake is a 29,592 acre lake with unlimited outdoor recreation opportunities.  Over 20 parks surround the lake and offer camping, hiking, picnicking, horseback riding, boating, and golf."
San Bernard National Wildlife Refuge,"Gaze across the rippling marshes and ponds of San Bernard National Wildlife Refuge and it's easy to imagine Texas as it was before settlement. Clouds of snow geese in winter or a warbler ""fallout"" in spring further convince any visitor that they have stepped back into earliest Texas.



Less than half of the refuge is open to the public, leaving a vast landscape was wildlife sanctuary.  Yet, a drive on the 3-mile auto tour or hike on  one of the three hiking trails can take up a full day's workth of wildlife watching."
Choke Canyon Reservoir,"<a href=""http://www.usbr.gov/projects/Facility.jsp?fac_Name=Choke+Canyon+Dam"" rel=""nofollow"">Choke Canyon Dam</a> and and reservoir are features of the <a href=""http://www.usbr.gov/projects/Project.jsp?proj_Name=Nueces+River+Project"" rel=""nofollow"">Nueces River Project</a>. The reservoir provides a water supply for Corpus Christi, Texas.  Recreation at this reservoir is managed for Reclamation by the Texas Parks and Wildlife Department. When full, the lake has approximately 26,000 water surface. acres, 9,127 land acres and 135 miles of shoreline. Accessible from numerous roads. Several boat ramps and camping facilities. Fishing year-round. Available species include black and large mouth bass, striper, crappie, and several species of catfish. <a href=""http://www.usbr.gov/gp-bin/arcweb_ccdt.pl"" rel=""nofollow"">Current Reservoir Levels</a>."
Lavon Lake,The Heard Natural Science Museum and Wildlife Sanctuary in nearby McKinney features natural history exhibits and nature trails.
Waco Lake,The largest lake in the United States to be located entirely within a single city's municiple  boundaries.
McFaddin National Wildlife Refuge,"McFaddin National Wildlife Refuge is a 58,861-acre refuge that includes the largest remaining freshwater marsh on the Texas Coast, as well as thousands of acres of intermediate to brackish marsh.  The landscape supplies important feeding and resting habitat for migrating and wintering populations of waterfowl, as well as other wildlife.  From October to March, thousands of geese feeding and resting in the marsh can be heard, if not actually seen.  Ducks on the refuge can number up to one hundred thousand, with more than two dozen species.  This includes the mottled duck, a year-round resident and recognized as an important indicator species to coastal marsh health and function.  During the spring, large concentrations of migrating songbirds fly through the upper Texas coast, with peak migration occurring in April.  In addition to all of the amazing birds, McFaddin National Wildlife Refuge is home to the largest concentration of American alligators in the State of Texas.  
<p>
<p>
Open to the public, visitors can enjoy wildlife watching, hunting, fishing, wildlife photography, and special wildlife-related events.  It is one of the more than 550 refuges that comprise the National Wildlife Refuge System, a national network of lands and waters set aside for the benefit of wildlife and you!"
Lake O' The Pines,"Lake O' the Pines includes about 18,700 acres of water and 9,000 acres of land located in the piney woods of Northeast Texas. The lake is located partially in Marion, Harrison, Upshur, Morris and Camp Counties.  Recreation opportunities are numerous with camping, boating, fishing, hunting, watchable wildlife, and bird watching, including wintering bald eagles.  Other local attractions include antique shopping, Mardi Gras Upriver, the Annual Historic Pilgrimage, and Christmas Candlelight Tour in Jefferson, TX.   Local attractions also include Stagecoach days, a Fire Ant Festival and Christmas lights in Marshall, TX, along with Texas Wildflower Trail routes along some area roads."
Pat Mayse Lake,"Pat Mayse Lake is located in the Red River Basin in Lamar County, Texas. The damsite is on Sanders Creek (a tributary of the Red River) approximately one mile south of the town of Chicota, four miles northwest of Powderly and twelve miles north of Paris, Texas. 
Easy access to developed park areas has made the lake a mecca for families who enjoy camping, picnicking, swimming, boating, fishing and other outdoor recreation. 
Pat Mayse Lake provides excellent opportunities for fishing and hunting. Sport fish species in the lake include largemouth bass, white crappie, sunfish, striped bass, channel and flathead catfish, and other common fish species. These lands are managed for upland game and whitetail deer and are open to the public as a public hunting area. The game species present include deer, fox squirrel, gray squirrel, bobwhite quail, morning dove, cottontail rabbit, raccoon, and fox. 
Furbearers such as opossum, beaver, mink, skunk, and nutria are also present. 
The lake also provides resting and feeding habitat for migratory waterfowl. A few miles north of the project area are the famed Red River Bottoms where waterfowl congregate in great numbers. 
"
Somerville Lake,"Nearby points of interest include Bluebonnet Trails, Independence Day Trek and Salt Grass Trek."
Granger Lake,"Open to the public March 1981, know as one of the top five crappie/white bass fishing spots in Central Texas."
Brazoria National Wildlife Refuge,"<p>The thunder of 40,000 snow geese taking flight, the salty breeze off the Texas Gulf, or the sight of a 12-foot alligator loafing on a muddy bank make a trip to Texas Mid-Coast National Wildlife Refuge Complex a sensory banquet in any season.
<p>Three national wildlife refuges -Brazoria, San Bernard and Big Boggy - form a vital complex of coastal wetlands harboring more than 300 bird species. They serve as an end point of the Central Flyway for waterfowl in winter, and an entry point for neotropical migratory songbirds tired from a 600-mile Gulf crossing from Mexico's Yucatan Peninsula. 
<p>Near Greater Houston, the refuge complex offers haven for both wildlife and people. For wildlife, the expanse of salt and freshwater marshes, sloughs, ponds, coastal prairies, and bottomland forest represent feasting and lodging for all or part of the year. For people, these vestiges of wild Texas offer exceptional wildlife watching.
<p>Freshwater sloughs wind through salt marshes. Rare, native bluestem prairie grasses grace the uplands. The greater the number of habitats, the richer the ecology. Brazoria NWR is no exception. It has a key location on the Texas Gulf which helps Freeport draw one of the highest Audubon Christmas bird counts in the nation - more than 200 species."
Joe Pool Lake,"Joe Pool Lake is a 7,400-acre impoundment located in the southern portion of the Dallas-Fort Worth Metroplex.  The lake is centrally located between Dallas and Fort Worth and has four developed parks: Britton Park, Cedar Hill State Park, Loyd Park and Lynn Creek Park.  Local attractions within a 20-mile radius of the Joe Pool Lake include: Six Flags Over Texas, Hurricane Harbor Fun Park, The Ballpark at Arlington (Texas Rangers Baseball), Texas Stadium (Dallas Cowboys Football), Penn Farm at Cedar Hill State Park, and Lonestar Park at Grand Prairie (horse racing)."
Anahuac National Wildlife Refuge,"The chorus of thousands of waterfowl, the splash of an alligator going for a swim, the rustle of wind moving through coastal prairie, and the high-pitched call of a fulvous whistling duck are just some of the sounds you may hear when visiting Anahuac National Wildlife Refuge.  This 34,000-acre haven for wildlife is located on the upper Texas gulf coast. The meandering bayous of Anahuac NWR cut through ancient floodplains creating expanses of coastal marsh and prairie bordering Galveston Bay.  Prevailing breezes bring in moisture from the Gulf of Mexico, resulting in high humidity and an average annual rainfall of over 51 inches.  Coastal marshes act as a huge sponge, holding and siphoning water from tropical storm tides and upstream flooding.  These marshes, combined with the coastal prairie, provide a home for an abundance of wildlife, from migratory birds to alligators."
Lake Texana,"Lake Texana is formed by <a href=""http://www.usbr.gov/dataweb/dams/tx82908.htm"" rel=""nofollow"">Palmetto Bend Dam</a> which is feature of the <a href=""http://www.usbr.gov/dataweb/html/palmetto.html"" rel=""nofollow"">Palmetto Bend Project</a>. The lake provides over 11,000 acres of water surface and 125 miles of shoreline. Accessible from numerous roads. Several boat ramps and camping facilities. Fishing year-round. Available species include black bass, white bass, crappie, walleye, and several species of catfish.  Wildlife can be seen in the area."
Whitney Lake,"There are 10 Corps of Engineers parks, one state park, and three additional parks managed by Hill County or private individuals.  Equestrian riders have a great place to explore rolling hills and woods in the McCown Valley Equestrian Area. Hopewell Trail, a 12.5 mile equestrian riding and multi-use trail that winds along the lake and through wildlife areas was opened in 2002. Trail riders can access the trail and stay overnight at the equestrian camping area at Plowman Creek Park."
Bardwell Lake,"Bardwell Lake is located in the Blackland Prairie region of southwestern Ellis County.  Built in 1965 for flood control by the US Army Corps of Engineers, Bardwell Lake is located two miles southwest of Ennis off of State Highway 34.  The US Army Corps of Engineers offers a wide variety of recreation to visitors. Camping, fishing, and picnicking are just a few of the recreational opportunities offered at Bardwell Lake.    Please visit the Bardwell Lake website link located at the bottom of the page for additional information."
Hagerman National Wildlife Refuge,"Hagerman National Wildlife Refuge, a haven for migratory birds and other wildlife, lies on the Big Mineral Arm of Lake Texoma, on the Red River between Oklahoma and Texas. The refuge is made up of water, marsh, and upland habitat and visitors can hike, observe wildlife, hunt, fish at various times throughout the year.



The main focus at Hagerman NWR is providing a winter home for thousands of waterfowl. Foremost among the waterfowl are Canada geese. During fall, winter, and spring, numbers can reach 7,500 or more. Other geese include white-fronted and snow geese, with a scattering of the smaller Ross' geese."
National Forests and Grasslands in Texas,.
Proctor Lake,"Located in historic territory of the Comanche Indians, Proctor Lake offers a wide variety of activities both on and off the water.  Whether your ideal camping trip includes fishing in one of Texas's hottest Hybrid Stripper and Crappie lakes or sghtseeing in the historic areas that surround the lake, Proctor Lake has something for everyone."
Lake Texoma,"The U.S. Army Corps of Engineers invites you to visit Lake Texoma, the largest lake in capacity in the Tulsa District and the twelfth largest in the United States. It is also one of the most popular Federal recreation facilities in the country, with almost 6 million visitors annually. In 1999 Texoma ranked first among Corps of Engineers lake projects nationwide, with visitors spending over 90 million hours at the lake. 
Texoma is known as the ?Striper Capital of the World.? This lake is one of the few reservoirs in the nation where striped bass reproduce naturally. Other popular species include largemouth and smallmouth bass, white bass, hybrid striped bass, white crappie, black crappie, channel catfish and blue catfish. 
Lake Texoma is also thought to be the ?Playground of the Southwest.? The lake offers a multitude of amenities for most anyone who enjoys the great outdoors. The Corps of Engineers alone offers 15 different campgrounds with the total number of individual campsites reaching well over 800. Also available are 40 miles of equestrian trails that are enjoyed by hundreds each year and the scenic Cross Timbers hiking trail, a very popular trail that winds for 14 miles above the lake on rocky ledges and through blackjack woodland. Overnight accommodations, boat rental, slip rental and supplies are available at many of the 23 commercial concessions located adjacent to the lake. For more information on private resorts and concessions, please contact the Lake Texoma Association at 580/564-2334. 
Wildlife enthusiasts will enjoy the two national wildlife refuges that have locations in both Oklahoma and Texas. Each year thousands of Canada and snow geese, various shorebirds, several species of ducks and bald eagles migrate to both the Hagerman and Tishomingo refuges. While deer, wild turkey and other native animals make their home year round on the some 30,000 acres that make up these two areas. For further information, please contact Hagerman refuge at 903/786-2826 and Tishomingo refuge at 580/371-2402. 
Employees with the Corps of Engineers believe strongly in water safety and have developed a program at Lake Texoma that has educated in excess of 10,000 school children and continues to educate 2,000 or more annually. The Hal D. Malone Memorial Water Safety Complex was developed in 1993 and built by the staff at Lake Texoma. Each year 4th grade students are bused to the complex from the surrounding schools to learn hypothermia survival, buoy identification, different types of PFD and how to get a perfect fit, coping with crisis on the water and the handling of a two person battery operated boat through a supervised obstacle course. 
"
Abilene State Park,"Awake in a wooded oasis on the banks of Elm Creek in the midst of the Texas Midwest, just south of the city of Abilene. Pecan, red oak, cottonwood and elm trees arch over the campground. A historic water tower and observation deck built by the CCC using rust-colored sandstone overlook the large swimming pool. Spot white-tailed deer and other wildlife as you hike along a wooded trail. You can fish, hike, bike, boat or picnic at the newest section of the park, Lake Abilene. A one-mile nature trail plus an ADA-compliant, 1/2-mile trail are also available in the main park area."
O.C. Fisher Lake,"O.C. Fisher Reservoir was completed by the US Army Corps of Engineers in 1952 for flood control on the North Concho River. Most of O.C. Fisher is leased to the Texas Parks & Wildlife Department and is known as <a href=""http://www.tpwd.state.tx.us/state-parks/san-angelo"" rel=""nofollow"">San Angelo State Park</a>. It's located adjacent to the City of San Angelo and is an oasis of quality outdoor recreation in an area of west Texas known as Concho Country. The park contains 7677 acres, most of which will remain undeveloped, and a wide range of facilities are available for the enjoyment of the visitor.  Desert plants bloom in this semi-desert region.  Turkey, deer and quail are hunted here.  The Park's address is:  San Angelo State Park (O.C. Fisher)  3900-2 Mercedes  San Angelo, TX 76901-2630;  (915)949-4757.    Angelo State University also has leased some of the lands at O.C. Fisher, and they also offer hunting for deer and turkey.  They can be contacted at:    Deer Hunt Research Project  Box 10888  ASU Station  San Angelo, TX 76909;  (915)942-2027 or 2389."
Navarro Mills Lake,Navarro Mills Lake holds the state record white crappie at 4lbs 9 ounces.
